typo;typo_min;typvoie;prevoie;nomvoie;dico
PLACE DE L'ANCIEN MARCHE SAINT-MARTIN;place de l'ancien marché saint-martin;place;de l';ancien marché Saint-Martin;1844_PARIS
PORTE SAINT-MARTIN;porte saint-martin;port;;e Saint-Martin;1844_PARIS
RUE DES ECLUSES SAINT-MARTIN;rue des écluses saint-martin;rue;des;Écluses Saint-Martin;1844_PARIS
RUE DES FOSSES-SAINT-MARTIN;rue des fossés-saint-martin;rue;des;Fossés-Saint-Martin;1844_PARIS
RUE DU CANAL-SAINT-MARTIN;rue du canal-saint-martin;rue;du;Canal-Saint-Martin;1844_PARIS
RUE DU FAUBOURG-SAINT-MARTIN;rue du faubourg-saint-martin;rue;du;Faubourg-Saint-Martin;1844_PARIS
RUE DU MARCHE-SAINT-MARTIN;rue du marché-saint-martin;rue;du;Marché-Saint-Martin;1844_PARIS
RUE NEUVE-SAINT-MARTIN;rue neuve-saint-martin;rue;;Neuve-Saint-Martin;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE DES MARTYRS;chemin de ronde de la barrière des martyrs;chemin;de;ronde de la barrière des Martyrs;1844_PARIS
RUE DE LA MASURE;rue de la masure;rue;de la;Masure;1844_PARIS
RUE DE LA FERME-DES-MATHURINS;rue de la ferme-des-mathurins;rue;de la;Ferme-des-Mathurins;1844_PARIS
RUE NEUVE-DES-MATHURINS;rue neuve-des-mathurins;rue;;Neuve-des-Mathurins;1844_PARIS
RUE DES MATHURINS-SAINT-JACQUES;rue des mathurins-saint-jacques;rue;des;Mathurins-Saint-Jacques;1844_PARIS
RUE MATIGNON;rue matignon;rue;;Matignon;1844_PARIS
RUE MAUBUEE;rue maubuée;rue;;Maubuée;1844_PARIS
IMPASSE MAUCONSEIL;impasse mauconseil;impasse;;Mauconseil;1844_PARIS
RUE DU MAURE;rue du maure;rue;du;Maure;1844_PARIS
RUE DES TROIS-MAURES;rue des trois-maures;rue;des;Trois-Maures;1844_PARIS
RUELLE DES TROIS-MAURES;ruelle des trois-maures;rue;;lle des Trois-Maures;1844_PARIS
RUE SAINT-MAUR-POPINCOURT;rue saint-maur-popincourt;rue;;Saint-Maur-Popincourt;1844_PARIS
RUE SAINT-MAUR-SAINT-GERMAIN;rue saint-maur-saint-germain;rue;;Saint-Maur-Saint-Germain;1844_PARIS
RUE SAINT-MAUR-SAINT-MARTIN;rue saint-maur-saint-martin;rue;;Saint-Maur-Saint-Martin;1844_PARIS
RUE DES MECANIQUES;rue des mécaniques;rue;des;Mécaniques;1844_PARIS
RUE MECHAIN;rue méchain;rue;;Méchain;1844_PARIS
RUE NEUVE-SAINT-MEDARD;rue neuve-saint-médard;rue;;Neuve-Saint-Médard;1844_PARIS
PLACE DE L'ECOLE-DE-MEDECINE;place de l'école-de-médecine;place;de l';École-de-Médecine;1844_PARIS
RUE DE L'ECOLE-DE-MEDECINE;rue de l'école-de-médecine;rue;de l';École-de-Médecine;1844_PARIS
QUAI DE LA MEGISSERIE;quai de la mégisserie;quai;de la;Mégisserie;1844_PARIS
RUE MEHUL;rue méhul;rue;;Méhul;1844_PARIS
RUE MENARS;rue ménars;rue;;Ménars;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE DE MENILMONTANT;chemin de ronde de la barrière de ménilmontant;chemin;de;ronde de la barrière de Ménilmontant;1844_PARIS
IMPASSE DE MENILMONTANT;impasse de ménilmontant;impasse;de;Ménilmontant;1844_PARIS
RUE DE MENILMONTANT;rue de ménilmontant;rue;de;Ménilmontant;1844_PARIS
RUE NEUVE-DE-MENILMONTANT;rue neuve-de-ménilmontant;rue;;Neuve-de-Ménilmontant;1844_PARIS
RUE MERCIER;rue mercier;rue;;Mercier;1844_PARIS
RUE DE LA FOLIE-MERICOURT;rue de la folie-méricourt;rue;de la;Folie-Méricourt;1844_PARIS
RUE DU CLOITRE-SAINT-MERRI;rue du cloître-saint-merri;rue;du;Cloître-Saint-Merri;1844_PARIS
RUE NEUVE-SAINT-MERRI;rue neuve-saint-merri;rue;;Neuve-Saint-Merri;1844_PARIS
RUE DE MESLAY;rue de meslay;rue;de;Meslay;1844_PARIS
PASSAGE DES MESSAGERIES-GENERALES;passage des messageries-générales;passage;des;Messageries-Générales;1844_PARIS
PASSAGE DES MESSAGERIES-ROYALES;passage des messageries-royales;passage;des;Messageries-Royales;1844_PARIS
RUE DES METIERS;rue des métiers;rue;des;Métiers;1844_PARIS
RUE DE MEZIERES;rue de mézières;rue;de;Mézières;1844_PARIS
PLACE DU PONT-SAINT-MICHEL;place du pont-saint-michel;place;du;Pont-Saint-Michel;1844_PARIS
RUE DU GRAND-SAINT-MICHEL;rue du grand-saint-michel;rue;du;Grand-Saint-Michel;1844_PARIS
RUE SAINT-MICHEL;rue saint-michel;rue;;Saint-Michel;1844_PARIS
RUE MICHEL-LE-COMTE;rue michel-le-comte;rue;;Michel-le-Comte;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE DE L'ECOLE-MILITAIRE;chemin de ronde de la barrière de l'école-militaire;chemin;de;ronde de la barrière de l'École-Militaire;1844_PARIS
RUE DE LA CHAUSSEE-DES-MINIMES;rue de la chaussée-des-minimes;rue;de la;Chaussée-des-Minimes;1844_PARIS
COUR DES MIRACLES;cour des miracles;cour;des;Miracles;1844_PARIS
PASSAGE DE LA COUR DES MIRACLES;passage de la cour des miracles;passage;de la;cour des Miracles;1844_PARIS
RUE DE MIROMENIL;rue de miroménil;rue;de;Miroménil;1844_PARIS
RUE DU PETIT-MOINE;rue du petit-moine;rue;du;Petit-Moine;1844_PARIS
RUE DES MOINEAUX;rue des moineaux;rue;des;Moineaux;1844_PARIS
RUE MOLAY;rue molay;rue;;Molay;1844_PARIS
PASSAGE MOLIERE;passage molière;passage;;Molière;1844_PARIS
RUE MOLIERE;rue molière;rue;;Molière;1844_PARIS
RUE DE MONDETOUR;rue de mondétour;rue;de;Mondétour;1844_PARIS
RUE DE LA VIEILLE-MONNAIE;rue de la vieille-monnaie;rue;de la;Vieille-Monnaie;1844_PARIS
RUE MONSIEUR-LE-PRINCE;rue monsieur-le-prince;rue;;Monsieur-le-Prince;1844_PARIS
RUE DE MONTAIGNE;rue de montaigne;rue;de;Montaigne;1844_PARIS
PASSAGE DE MONTESQUIEU;passage de montesquieu;passage;de;Montesquieu;1844_PARIS
RUE DE MONTESQUIEU;rue de montesquieu;rue;de;Montesquieu;1844_PARIS
RUE MONTFAUCON;rue montfaucon;rue;;Montfaucon;1844_PARIS
RUE MONT-GALLET;rue mont-gallet;rue;;Mont-Gallet;1844_PARIS
RUE MONTHOLON;rue montholon;rue;;Montholon;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE MONTMARTRE;chemin de ronde de la barrière montmartre;chemin;de;ronde de la barrière Montmartre;1844_PARIS
PLACE DE LA BARRIERE MONTMARTRE;place de la barrière montmartre;place;de la;barrière Montmartre;1844_PARIS
RUE DES FOSSES-MONTMARTRE;rue des fossés-montmartre;rue;des;Fossés-Montmartre;1844_PARIS
RUE DU FAUBOURG-MONTMARTRE;rue du faubourg-montmartre;rue;du;Faubourg-Montmartre;1844_PARIS
RUE NEUVE-DE-MONTMORENCY;rue neuve-de-montmorency;rue;;Neuve-de-Montmorency;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE DU MONT-PARNASSE;chemin de ronde de la barrière du mont-parnasse;chemin;de;ronde de la barrière du Mont-Parnasse;1844_PARIS
IMPASSE DU MONT-PARNASSE;impasse du mont-parnasse;impasse;du;Mont-Parnasse;1844_PARIS
RUE DU MONT-PARNASSE;rue du mont-parnasse;rue;du;Mont-Parnasse;1844_PARIS
RUE DE MONTPENSIER-PALAIS-ROYAL;rue de montpensier-palais-royal;rue;de;Montpensier-Palais-Royal;1844_PARIS
RUE DE MONTPENSIER-SAINT-HONORE;rue de montpensier-saint-honoré;rue;de;Montpensier-Saint-Honoré;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE DE MONTREUIL;chemin de ronde de la barrière de montreuil;chemin;de;ronde de la barrière de Montreuil;1844_PARIS
RUE DU MONT-THABOR;rue du mont-thabor;rue;du;Mont-Thabor;1844_PARIS
IMPASSE MORTAGNE;impasse mortagne;impasse;;Mortagne;1844_PARIS
RUE DU HAUT-MOULIN-DU-TEMPLE;rue du haut-moulin-du-temple;rue;du;Haut-Moulin-du-Temple;1844_PARIS
RUE DU HAUT-MOULIN-EN-LA-CITE;rue du haut-moulin-en-la-cité;rue;du;Haut-Moulin-en-la-Cité;1844_PARIS
IMPASSE DU MOULIN-JOLI;impasse du moulin-joli;impasse;du;Moulin-Joli;1844_PARIS
RUE DES DEUX-MOULINS BARRIERE DE REUILLY;rue des deux-moulins barrière de reuilly;rue;des;Deux-Moulins Barrière de Reuilly;1844_PARIS
RUE DES DEUX-MOULINS-SAINT-MARCEL;rue des deux-moulins-saint-marcel;rue;des;Deux-Moulins-Saint-Marcel;1844_PARIS
RUE DES MOULINS-SAINT-ROCH;rue des moulins-saint-roch;rue;des;Moulins-Saint-Roch;1844_PARIS
RUE DU MOUTON;rue du mouton;rue;du;Mouton;1844_PARIS
RUE DE LA MUETTE;rue de la muette;rue;de la;Muette;1844_PARIS
RUE DES MULETS;rue des mulets;rue;des;Mulets;1844_PARIS
AVENUE DE MUNICH;avenue de munich;avenue;de;Munich;1844_PARIS
RUE DU MURIER;rue du murier;rue;du;Murier;1844_PARIS
RUE DU PETIT-MUSC;rue du petit-musc;rue;du;Petit-Musc;1844_PARIS
PLACE DU MUSEE;place du musée;place;du;Musée;1844_PARIS
RUE DU MUSEE;rue du musée;rue;du;Musée;1844_PARIS
RUE FRANCOIS-MYRON;rue françois-myron;rue;;François-Myron;1844_PARIS
QUAI NAPOLEON;quai napoléon;quai;;Napoléon;1844_PARIS
IMPASSE DE NAZARETH;impasse de nazareth;impasse;de;Nazareth;1844_PARIS
RUE SAINT-NICAISE;rue saint-nicaise;rue;;Saint-Nicaise;1844_PARIS
IMPASSE SAINT-NICOLAS;impasse saint-nicolas;impasse;;Saint-Nicolas;1844_PARIS
RUE DU CIMETIERE-SAINT-NICOLAS;rue du cimetière-saint-nicolas;rue;du;Cimetière-Saint-Nicolas;1844_PARIS
RUE NEUVE-SAINT-NICOLAS;rue neuve-saint-nicolas;rue;;Neuve-Saint-Nicolas;1844_PARIS
RUE SAINT-NICOLAS-CHAUSSEE-D'ANTIN;rue saint-nicolas-chaussée-d'antin;rue;;Saint-Nicolas-Chaussée-d' Antin;1844_PARIS
RUE SAINT-NICOLAS-DU-CHARDONNET;rue saint-nicolas-du-chardonnet;rue;;Saint-Nicolas-du-Chardonnet;1844_PARIS
RUE SAINT-NICOLAS FAUBOURG-SAINT-ANTOINE;rue saint-nicolas faubourg-saint-antoine;rue;;Saint-Nicolas Faubourg-Saint-Antoine;1844_PARIS
RUE SAINT-NICOLAS-SAINT-ANTOINE;rue saint-nicolas-saint-antoine;rue;;Saint-Nicolas-Saint-Antoine;1844_PARIS
PASSAGE NOIR;passage noir;passage;;Noir;1844_PARIS
RUE DES NONNAINS-D'HYERES;rue des nonnains-d'hyères;rue;des;Nonnains-d' Hyères;1844_PARIS
PARVIS NOTRE-DAME;parvis notre-dame;parvis;;Notre-Dame;1844_PARIS
RUE DU CLOITRE NOTRE-DAME;rue du cloître notre-dame;rue;du;cloître Notre-Dame;1844_PARIS
RUE NEUVE-NOTRE-DAME;rue neuve-notre-dame;rue;;Neuve-Notre-Dame;1844_PARIS
RUE VIEILLE-NOTRE-DAME;rue vieille-notre-dame;rue;;Vieille-Notre-Dame;1844_PARIS
RUE NOTRE-DAME-DE-BONNE-NOUVELLE;rue notre-dame-de-bonne-nouvelle;rue;;Notre-Dame-de-Bonne-Nouvelle;1844_PARIS
RUE NOTRE-DAME-DE-GRACE;rue notre-dame-de-grâce;rue;;Notre-Dame-de-Grâce;1844_PARIS
RUE NOTRE-DAME-DE-LORETTE;rue notre-dame-de-lorette;rue;;Notre-Dame-de-Lorette;1844_PARIS
RUE NOTRE-DAME-DE-NAZARETH;rue notre-dame-de-nazareth;rue;;Notre-Dame-de-Nazareth;1844_PARIS
RUE NOTRE-DAME-DE-RECOUVRANCE;rue notre-dame-de-recouvrance;rue;;Notre-Dame-de-Recouvrance;1844_PARIS
RUE NOTRE-DAME-DES-CHAMPS;rue notre-dame-des-champs;rue;;Notre-Dame-des-Champs;1844_PARIS
RUE NOTRE-DAME-DES-VICTOIRES;rue notre-dame-des-victoires;rue;;Notre-Dame-des-Victoires;1844_PARIS
RUE DES NOYERS;rue des noyers;rue;des;Noyers;1844_PARIS
RUE OBLIN;rue oblin;rue;;Oblin;1844_PARIS
RUE DE L'OBSERVANCE;rue de l'observance;rue;de l';Observance;1844_PARIS
CARREFOUR DE L'OBSERVATOIRE;carrefour de l'observatoire;carrefour;de l';Observatoire;1844_PARIS
CARREFOUR DE L'ODEON;carrefour de l'odéon;carrefour;de l';Odéon;1844_PARIS
PLACE DE L'ODEON;place de l'odéon;place;de l';Odéon;1844_PARIS
RUE DE L'ODEON;rue de l'odéon;rue;de l';Odéon;1844_PARIS
RUE OGNIARD;rue ogniard;rue;;Ogniard;1844_PARIS
RUE OLLIVIER;rue ollivier;rue;;Ollivier;1844_PARIS
PASSAGES DE L'OPERA;passages de l'opéra;passage;;s de l' Opéra;1844_PARIS
IMPASSE SAINTE-OPPORTUNE;impasse sainte-opportune;impasse;;Sainte-Opportune;1844_PARIS
RUE DE L'ORANGERIE;rue de l'orangerie;rue;de l';Orangerie;1844_PARIS
PLACE DE L'ORATOIRE;place de l'oratoire;place;de l';Oratoire;1844_PARIS
RUE DE L'ORATOIRE DES CHAMPS-ELYSEES;rue de l'oratoire des champs-élysées;rue;de l';Oratoire des Champs-Élysées;1844_PARIS
RUE DE L'ORATOIRE-DU-LOUVRE;rue de l'oratoire-du-louvre;rue;de l';Oratoire-du-Louvre;1844_PARIS
QUAI DES ORFEVRES;quai des orfèvres;quai;des;Orfèvres;1844_PARIS
RUE DES ORFEVRES;rue des orfèvres;rue;des;Orfèvres;1844_PARIS
CITE D'ORLEANS;cité d'orléans;cité;d';Orléans;1844_PARIS
QUAI D'ORLEANS;quai d'orléans;quai;d';Orléans;1844_PARIS
RUE D'ORLEANS-AU-MARAIS;rue d'orléans-au-marais;rue;d';Orléans-au-Marais;1844_PARIS
RUE D'ORLEANS-SAINT-HONORE;rue d'orléans-saint-honoré;rue;d';Orléans-Saint-Honoré;1844_PARIS
RUE D'ORLEANS-SAINT-MARCEL;rue d'orléans-saint-marcel;rue;d';Orléans-Saint-Marcel;1844_PARIS
AVENUE DES ORMEAUX;avenue des ormeaux;avenue;des;Ormeaux;1844_PARIS
QUAI DES ORMES;quai des ormes;quai;des;Ormes;1844_PARIS
RUE DES ORTIES;rue des orties;rue;des;Orties;1844_PARIS
RUE DE L'OSEILLE;rue de l'oseille;rue;de l';Oseille;1844_PARIS
RUE PAGEVIN;rue pagevin;rue;;Pagevin;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE DES PAILLASSONS;chemin de ronde de la barrière des paillassons;chemin;de;ronde de la barrière des Paillassons;1844_PARIS
RUE DES PAILLASSONS;rue des paillassons;rue;des;Paillassons;1844_PARIS
RUE JEAN PAIN-MOLLET;rue jean pain-mollet;rue;;Jean Pain-Mollet;1844_PARIS
PLACE DU PALAIS-ROYAL;place du palais-royal;place;du;Palais-Royal;1844_PARIS
PASSAGE DU PANIER-FLEURI;passage du panier-fleuri;passage;du;Panier-Fleuri;1844_PARIS
PASSAGES DES PANORAMAS;passages des panoramas;passage;;s des Panoramas;1844_PARIS
PLACE DU PANTHEON;place du panthéon;place;du;Panthéon;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE DE PANTIN;chemin de ronde de la barrière de pantin;chemin;de;ronde de la barrière de Pantin;1844_PARIS
RUE DU CHEMIN-DE-PANTIN;rue du chemin-de-pantin;rue;du;Chemin-de-Pantin;1844_PARIS
IMPASSE DU PAON;impasse du paon;impasse;du;Paon;1844_PARIS
RUE DU PAON-BLANC;rue du paon-blanc;rue;du;Paon-Blanc;1844_PARIS
RUE DU PAON-SAINT-ANDRE;rue du paon-saint-andré;rue;du;Paon-Saint-André;1844_PARIS
RUE DU PAON-SAINT-VICTOR;rue du paon-saint-victor;rue;du;Paon-Saint-Victor;1844_PARIS
RUE DE PARADIS-AU-MARAIS;rue de paradis-au-marais;rue;de;Paradis-au-Marais;1844_PARIS
RUE DE PARADIS-POISSONNIERE;rue de paradis-poissonnière;rue;de;Paradis-Poissonnière;1844_PARIS
RUE DU PARC-ROYAL;rue du parc-royal;rue;du;Parc-Royal;1844_PARIS
RUE DES MAUVAISES PAROLES;rue des mauvaises paroles;rue;des;Mauvaises Paroles;1844_PARIS
RUE DU PAS-DE-LA-MULE;rue du pas-de-la-mule;rue;du;Pas-de-la-Mule;1844_PARIS
RUE DU MARCHE-DES-PATRIARCHES;rue du marché-des-patriarches;rue;du;Marché-des-Patriarches;1844_PARIS
QUAI SAINT-PAUL;quai saint-paul;quai;;Saint-Paul;1844_PARIS
RUE DES PRETRES-SAINT-PAUL;rue des prêtres-saint-paul;rue;des;Prêtres-Saint-Paul;1844_PARIS
RUE NEUVE-SAINT-PAUL;rue neuve-saint-paul;rue;;Neuve-Saint-Paul;1844_PARIS
RUE PAUQUET-DE-VILLEJUST;rue pauquet-de-villejust;rue;;Pauquet-de-Villejust;1844_PARIS
RUE DU HAUT-PAVE;rue du haut-pavé;rue;du;Haut-Pavé;1844_PARIS
RUE PAVEE-AU-MARAIS;rue pavée-au-marais;rue;;Pavée-au-Marais;1844_PARIS
RUE PAVEE-SAINT-ANDRE;rue pavée-saint-andré;rue;;Pavée-Saint-André;1844_PARIS
RUE PAVEE-SAINT-SAUVEUR;rue pavée-saint-sauveur;rue;;Pavée-Saint-Sauveur;1844_PARIS
PASSAGE DES PAVILLONS;passage des pavillons;passage;des;Pavillons;1844_PARIS
RUE DES TROIS-PAVILLONS;rue des trois-pavillons;rue;des;Trois-Pavillons;1844_PARIS
RUE SAINT-PAXENT;rue saint-paxent;rue;;Saint-Paxent;1844_PARIS
PASSAGE PECQUAY;passage pecquay;passage;;Pecquay;1844_PARIS
IMPASSE PELEE;impasse pelée;impasse;;Pelée;1844_PARIS
RUE DES PELERINS-SAINT-JACQUES;rue des pélerins-saint-jacques;rue;des;Pélerins-Saint-Jacques;1844_PARIS
RUE DU PELICAN;rue du pélican;rue;du;Pélican;1844_PARIS
RUE DE LA PELLETERIE;rue de la pelleterie;rue;de la;Pelleterie;1844_PARIS
QUAI PELLETIER;quai pelletier;quai;;Pelletier;1844_PARIS
RUE DE LA PEPINIERE;rue de la pépinière;rue;de la;Pépinière;1844_PARIS
RUE PERCEE-SAINT-ANDRE;rue percée-saint-andré;rue;;Percée-Saint-André;1844_PARIS
RUE PERCEE-SAINT-ANTOINE;rue percée-saint-antoine;rue;;Percée-Saint-Antoine;1844_PARIS
RUE PERDUE;rue perdue;rue;;Perdue;1844_PARIS
PASSAGE DES PETITS-PERES;passage des petits-pères;passage;des;Petits-Pères;1844_PARIS
PLACE DES PETITS-PERES;place des petits-pères;place;des;Petits-Pères;1844_PARIS
RUE DES PETITS-PERES;rue des petits-pères;rue;des;Petits-Pères;1844_PARIS
RUE DES SAINTS-PERES;rue des saints-pères;rue;des;Saints-Pères;1844_PARIS
RUE CASIMIR-PERIER;rue casimir-périer;rue;;Casimir-Périer;1844_PARIS
RUE PERIGNON;rue pérignon;rue;;Pérignon;1844_PARIS
RUE DE PERIGUEUX;rue de périgueux;rue;de;Périgueux;1844_PARIS
RUE DE PERPIGNAN;rue de perpignan;rue;de;Perpignan;1844_PARIS
RUE PERREE;rue perrée;rue;;Perrée;1844_PARIS
RUE PERRIN-GASSELIN;rue perrin-gasselin;rue;;Perrin-Gasselin;1844_PARIS
RUE DU PERRON;rue du perron;rue;du;Perron;1844_PARIS
RUE DE SAINT-PETERSBOURG;rue de saint-pétersbourg;rue;de;Saint-Pétersbourg;1844_PARIS
RUE PETRELLE;rue pétrelle;rue;;Pétrelle;1844_PARIS
RUE PHELIPEAUX;rue phelipeaux;rue;;Phelipeaux;1844_PARIS
COUR OU PASSAGE PHILIBERT;cour ou passage philibert;cour;;ou passage Philibert;1844_PARIS
RUE SAINT-PHILIPPE-BONNE-NOUVELLE;rue saint-philippe-bonne-nouvelle;rue;;Saint-Philippe-Bonne-Nouvelle;1844_PARIS
RUE SAINT-PHILIPPE-SAINT-MARTIN;rue saint-philippe-saint-martin;rue;;Saint-Philippe-Saint-Martin;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE DE PICPUS;chemin de ronde de la barrière de picpus;chemin;de;ronde de la barrière de Picpus;1844_PARIS
PASSAGE SAINT-PIERRE;passage saint-pierre;passage;;Saint-Pierre;1844_PARIS
RUE BASSE SAINT-PIERRE;rue basse saint-pierre;rue;;Basse Saint-Pierre;1844_PARIS
RUE NEUVE-SAINT-PIERRE;rue neuve-saint-pierre;rue;;Neuve-Saint-Pierre;1844_PARIS
RUE PIERRE-A-POISSON;rue pierre-à-poisson;rue;;Pierre-à-Poisson;1844_PARIS
RUE PIERRE-ASSIS;rue pierre-assis;rue;;Pierre-Assis;1844_PARIS
RUE PIERRE-AU-LARD;rue pierre-au-lard;rue;;Pierre-au-Lard;1844_PARIS
RUE SAINT-PIERRE-DES-ARCIS;rue saint-pierre-des-arcis;rue;;Saint-Pierre-des-Arcis;1844_PARIS
RUE PIERRE-LEVEE;rue pierre-levée;rue;;Pierre-Levée;1844_PARIS
RUE SAINT-PIERRE-MONTMARTRE;rue saint-pierre-montmartre;rue;;Saint-Pierre-Montmartre;1844_PARIS
RUE SAINT-PIERRE-POPINCOURT;rue saint-pierre-popincourt;rue;;Saint-Pierre-Popincourt;1844_PARIS
RUE PIGALLE;rue pigalle;rue;;Pigalle;1844_PARIS
RUE DES PILIERS AUX POTIERS D'ETAIN;rue des piliers aux potiers d'étain;rue;des;Piliers aux Potiers d'Étain;1844_PARIS
RUE PINON;rue pinon;rue;;Pinon;1844_PARIS
AVENUE DE PLAISANCE;avenue de plaisance;avenue;de;Plaisance;1844_PARIS
RUE DE LA PLANCHE-MIBRAY;rue de la planche-mibray;rue;de la;Planche-Mibray;1844_PARIS
RUE DE LA PLANCHETTE;rue de la planchette;rue;de la;Planchette;1844_PARIS
RUE DU PLAT-D'ETAIN;rue du plat-d'étain;rue;du;Plat-d'Étain;1844_PARIS
RUE DU PLATRE-AU-MARAIS;rue du plâtre-au-marais;rue;du;Plâtre-au-Marais;1844_PARIS
RUE DU PLATRE-SAINT-JACQUES;rue du plâtre-saint-jacques;rue;du;Plâtre-Saint-Jacques;1844_PARIS
IMPASSE PLUMET;impasse plumet;impasse;;Plumet;1844_PARIS
RUE NEUVE-PLUMET;rue neuve-plumet;rue;;Neuve-Plumet;1844_PARIS
RUELLE DES PLUMETS;ruelle des plumets;rue;;lle des Plumets;1844_PARIS
RUE DES POIREES;rue des poirées;rue;des;Poirées;1844_PARIS
RUE DU MARCHE-AUX-POIREES;rue du marché-aux-poirées;rue;du;Marché-aux-Poirées;1844_PARIS
RUE NEUVE-DES-POIREES;rue neuve-des-poirées;rue;;Neuve-des-Poirées;1844_PARIS
RUE DU POIRIER;rue du poirier;rue;du;Poirier;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE POISSONNIERE;chemin de ronde de la barrière poissonnière;chemin;de;ronde de la barrière Poissonnière;1844_PARIS
RUE POISSONNIERE;rue poissonnière;rue;;Poissonnière;1844_PARIS
RUE DU FAUBOURG-POISSONNIERE;rue du faubourg-poissonnière;rue;du;Faubourg-Poissonnière;1844_PARIS
RUE DE POLIVEAU;rue de poliveau;rue;de;Poliveau;1844_PARIS
IMPASSE DE LA POMPE;impasse de la pompe;impasse;de la;Pompe;1844_PARIS
PASSAGE DE LA POMPE A FEU;passage de la pompe à feu;passage;de la;Pompe à Feu;1844_PARIS
PLACE DU PETIT-PONT;place du petit-pont;place;du;Petit-Pont;1844_PARIS
RUE DU PETIT-PONT;rue du petit-pont;rue;du;Petit-Pont;1844_PARIS
PASSAGE DU PONT-NEUF;passage du pont-neuf;passage;du;Pont-Neuf;1844_PARIS
PLACE DU PONT-NEUF;place du pont-neuf;place;du;Pont-Neuf;1844_PARIS
RUE DES DEUX-PONTS;rue des deux-ponts;rue;des;Deux-Ponts;1844_PARIS
RUE DU MARCHE-POPINCOURT;rue du marché-popincourt;rue;du;Marché-Popincourt;1844_PARIS
RUE NEUVE-POPINCOURT;rue neuve-popincourt;rue;;Neuve-Popincourt;1844_PARIS
RUE DES DOUZE-PORTES;rue des douze-portes;rue;des;Douze-Portes;1844_PARIS
RUE DES DEUX-PORTES-SAINT-ANDRE;rue des deux-portes-saint-andré;rue;des;Deux-Portes-Saint-André;1844_PARIS
RUE DES DEUX-PORTES-SAINT-JEAN;rue des deux-portes-saint-jean;rue;des;Deux-Portes-Saint-Jean;1844_PARIS
RUE DES DEUX-PORTES-SAINT-SAUVEUR;rue des deux-portes-saint-sauveur;rue;des;Deux-Portes-Saint-Sauveur;1844_PARIS
RUE DE PORT-ROYAL;rue de port-royal;rue;de;Port-Royal;1844_PARIS
RUE DES POSTES;rue des postes;rue;des;Postes;1844_PARIS
RUE DU POT-DE-FER SAINT-MARCEL;rue du pot-de-fer saint-marcel;rue;du;Pot-de-Fer Saint-Marcel;1844_PARIS
RUE DU POT-DE-FER-SAINT-SULPICE;rue du pot-de-fer-saint-sulpice;rue;du;Pot-de-Fer-Saint-Sulpice;1844_PARIS
RUE DE LA POTERIE-DES-ARCIS;rue de la poterie-des-arcis;rue;de la;Poterie-des-Arcis;1844_PARIS
RUE DE LA POTERIE-DES-HALLES;rue de la poterie-des-halles;rue;de la;Poterie-des-Halles;1844_PARIS
RUE DES POULES;rue des poules;rue;des;Poules;1844_PARIS
RUE DES POULIES;rue des poulies;rue;des;Poulies;1844_PARIS
RUE POUPEE;rue poupée;rue;;Poupée;1844_PARIS
RUE DU POURTOUR-SAINT-GERVAIS;rue du pourtour-saint-gervais;rue;du;Pourtour-Saint-Gervais;1844_PARIS
RUE DES PRECHEURS;rue des prêcheurs;rue;des;Prêcheurs;1844_PARIS
RUE DU GRAND-PRIEURE;rue du grand-prieuré;rue;du;Grand-Prieuré;1844_PARIS
GALERIE DES PROUVAIRES;galerie des prouvaires;galerie;des;Prouvaires;1844_PARIS
PASSAGE DES PROUVAIRES;passage des prouvaires;passage;des;Prouvaires;1844_PARIS
IMPASSE DES PROVENCAUX;impasse des provençaux;impasse;des;Provençaux;1844_PARIS
IMPASSE DU BON-PUITS;impasse du bon-puits;impasse;du;Bon-Puits;1844_PARIS
RUE DU PUITS;rue du puits;rue;du;Puits;1844_PARIS
RUE DU BON-PUITS;rue du bon-puits;rue;du;Bon-Puits;1844_PARIS
RUE DU PUITS-QUI-PARLE;rue du puits-qui-parle;rue;du;Puits-qui-Parle;1844_PARIS
IMPASSE PUTIGNEUX;impasse putigneux;impasse;;Putigneux;1844_PARIS
PASSAGE DES QUINZE-VINGTS;passage des quinze-vingts;passage;des;Quinze-Vingts;1844_PARIS
RUE DES QUINZE-VINGTS;rue des quinze-vingts;rue;des;Quinze-Vingts;1844_PARIS
PASSAGE RADZIVILL;passage radzivill;passage;;Radzivill;1844_PARIS
RUE DE RAMBUTEAU;rue de rambuteau;rue;de;Rambuteau;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE RAMPONEAU;chemin de ronde de la barrière ramponeau;chemin;de;ronde de la barrière Ramponeau;1844_PARIS
CHEMIN DE RONDE DE LA BARRIERE DE LA RAPEE;chemin de ronde de la barrière de la rapée;chemin;de;ronde de la barrière de la Rapée;1844_PARIS
